en;ru;kk;translation_key
Transaction history filter settings;Настройки фильтра истории транзакций;Транзакция тарихы сүзгісін баптаулар;transactionsHistoryFilterSettings
field dimension;размерность поля;жолдың өлшемділігі;temp_sizeField
ID is required;Необходимо указать идентификатор;Сәйкестендіргішті көрсету қажет;id.shouldExists
Currency of debiting;Валюта списания;Шығындау валютасы;paymentOrder_debitCurrency
Create a template;Создать шаблон;Шаблон жасау;common_createTemplate
User's id should be empty ;Id пользователя должно быть пустым;пайдаланушының Id бос болуы тиіс;common.validation.creation.customer.id
Currency;Валюта;Валюта;intTransfer_currency
A list of employees;Список сотрудников;Қызметкерлер тізімі;paymentOrder_employeeList
Status with this code already exists;Статус с таким кодом уже существует;Мұндай коды бар мәртебе бұрыннан бар;statusWithSameCodeAlreadyExists
Executor;Исполнитель;Орындаушы;events_executor
Returns;Возвраты;Қайтарулар;navigation_returns
Initial state;Начальное состояние;Бастапқы жағдайы;documentHistory_previousState
User sessions;Сессии пользователей;Пайдаланушылар сесииялары;sessions_title
Create a new Card Status;Создать новый Статус карт;Карталардың жаңа мәртебесін жасау;createCardStatus
Event;Событие;Оқиға;eventview_title
Are you sure you want to delete the document type;Вы действительно хотите удалить Тип документа;Сіз шынымен Құжаттардың типін өшіргіңіз келеді ме;sureYouWantDeleteDocType
Directory: Exchange rate;Справочник: Курс валют;Анықтамалық: Валюталар курсы;exchangeRates_handbook
Unacceptable symbols;Недопустимые символы;Жол берілмейтін белгілер;paymentOrder_valid_invalidCharacters
View and Editing of the Budget Classification Code (BCC);Просмотр и редактирование Кода бюджетной классификации(КБК);Бюджеттік жіктеу кодын (БЖК) қарау және редакциялау;viewingEditingKBK
Events with;События с;... Бастап оқиға;events_eventsfrom
field value;значение поля;жолдың мәні;common_fieldValue
Transaction history;История транзакций;Транзакциялар тарихы;common_transactionHistory
A document with this number already exists, we recommend you to specify the next number;Документ с таким номером уже существует, рекомендуем указать следующий номер;Мұндай нөмірмен құжат ендіге бар, келесі нөмірді көрсетуге кеңес береміз;paymentOrder_valid_documentExist
